月份,項目,金額,數量,比率,來源,單位,客戶,耗時分鐘
2026/07/18,中段,25.65,155,35.83,正常登錄,資材,捷欣,198
2026/06/09,前段,18.50,0,63.32,已回報,資材,東昇,178
2026/06/26,前段,14.86,0,79.47,待確認,資材,力鋼,152
2026/06/17,中段,96.95,220,31.22,已回報,製造,力鋼,177
2026/06/13,完成,50.09,137,41.27,待確認,資材,東昇,34
2026/07/01,中段,39.59,219,89.03,正常登錄,品保,東昇,105
2026/07/01,中段,25.41,169,67.94,正常登錄,研發,捷欣,167
2026/06/14,後段,82.54,196,20.87,正常登錄,營運,永利,52
2026/07/16,中段,36.33,141,39.69,正常登錄,營運,力鋼,31
2026/06/18,前段,20.20,211,3.82,正常登錄,研發,東昇,7
2026/06/09,前段,75.12,142,34.54,正常登錄,品保,東昇,60
2026/06/15,後段,93.45,173,25.55,待確認,品保,捷欣,191
2026/07/20,後段,40.33,78,41.44,已回報,品保,順發,81
2026/07/26,完成,51.78,26,10.95,正常登錄,營運,大宏,145
2026/06/27,完成,5.90,229,59.26,正常登錄,資材,順發,20
2026/06/16,中段,72.81,34,55.55,待確認,營運,順發,149
2026/07/23,後段,42.84,115,58.77,已回報,資材,東昇,50
2026/06/21,前段,4.09,183,12.38,正常登錄,研發,東昇,108
2026/06/13,前段,6.06,27,45.82,已回報,營運,大宏,157
2026/07/02,後段,24.19,40,68.35,已回報,研發,捷欣,70
2026/07/12,完成,72.50,188,21.76,已回報,研發,捷欣,80
2026/06/30,中段,74.58,143,67.66,待確認,資材,大宏,164
2026/07/25,前段,48.55,20,40.70,正常登錄,研發,大宏,23
2026/07/16,中段,28.54,0,45.16,正常登錄,製造,大宏,69
2026/06/09,前段,87.33,97,94.03,正常登錄,資材,力鋼,170
2026/06/22,前段,80.00,115,77.27,待確認,製造,順發,192
2026/07/27,完成,65.31,0,70.47,正常登錄,製造,大宏,170
2026/07/16,完成,8.59,0,73.49,正常登錄,品保,捷欣,76
2026/06/30,後段,21.99,159,8.65,正常登錄,製造,捷欣,37
2026/06/26,後段,88.18,194,70.91,待確認,研發,順發,157
2026/07/17,前段,56.79,17,45.60,正常登錄,資材,永利,201
2026/06/06,前段,19.87,4,18.80,已回報,資材,力鋼,186
2026/06/04,前段,5.72,191,58.87,已回報,製造,大宏,187
2026/07/14,中段,53.86,234,61.53,待確認,製造,大宏,189
2026/06/17,前段,2.88,105,58.11,正常登錄,營運,順發,35
2026/07/11,完成,76.43,228,48.62,正常登錄,製造,順發,2
2026/06/27,中段,23.02,0,78.11,正常登錄,營運,力鋼,240
2026/07/27,中段,56.14,69,46.32,已回報,營運,大宏,88
2026/06/07,後段,68.39,180,12.03,正常登錄,營運,順發,151
2026/07/30,完成,8.06,158,60.56,正常登錄,營運,東昇,112
2026/06/21,前段,14.40,114,18.58,正常登錄,品保,永利,32
2026/07/01,前段,28.60,170,19.75,待確認,品保,捷欣,45
2026/06/16,中段,11.24,35,85.69,待確認,資材,大宏,77
2026/06/15,前段,85.89,24,4.97,正常登錄,資材,大宏,237
2026/07/04,中段,93.01,0,64.23,正常登錄,研發,永利,186
2026/06/24,後段,42.22,0,41.35,正常登錄,資材,捷欣,68
2026/06/16,前段,57.32,0,60.01,待確認,研發,順發,145
2026/07/13,前段,53.62,0,18.00,待確認,營運,大宏,108
2026/06/20,完成,90.65,235,44.33,已回報,研發,順發,234
2026/07/25,中段,46.95,189,95.81,正常登錄,品保,順發,191
2026/07/20,完成,93.93,180,95.86,正常登錄,研發,力鋼,4
2026/07/04,後段,18.69,97,92.46,已回報,資材,永利,68
2026/06/21,後段,71.54,91,9.07,待確認,營運,永利,99
2026/06/26,前段,61.50,106,42.04,正常登錄,資材,東昇,232
2026/06/09,前段,12.76,30,23.52,正常登錄,研發,順發,221
2026/06/14,後段,12.09,0,83.58,正常登錄,研發,力鋼,197
2026/06/18,完成,54.42,0,20.27,已回報,研發,東昇,29
2026/06/14,前段,96.41,18,69.67,待確認,製造,永利,92
2026/06/14,前段,59.29,99,12.74,已回報,研發,順發,38
2026/07/12,後段,19.03,0,45.94,正常登錄,品保,力鋼,11
2026/07/27,前段,18.40,94,56.77,正常登錄,資材,永利,233
2026/06/15,中段,6.05,234,25.71,正常登錄,營運,東昇,223
2026/06/23,前段,8.28,197,59.95,已回報,資材,順發,103
2026/06/17,後段,26.58,149,95.54,正常登錄,研發,東昇,158
2026/07/19,後段,60.52,0,35.18,正常登錄,營運,順發,210
2026/07/17,前段,63.81,147,71.30,已回報,品保,東昇,96
2026/06/06,後段,7.18,43,41.55,正常登錄,製造,東昇,85
2026/07/20,完成,55.82,225,5.38,已回報,製造,大宏,228
2026/06/12,中段,58.04,234,77.29,正常登錄,製造,東昇,39
2026/06/13,後段,74.80,159,29.90,已回報,資材,捷欣,44
2026/06/20,後段,26.42,0,32.99,正常登錄,研發,順發,134
2026/06/29,後段,55.41,0,8.96,正常登錄,資材,力鋼,50
2026/06/19,完成,55.15,40,50.51,正常登錄,研發,力鋼,128
2026/06/23,後段,5.33,98,87.06,正常登錄,製造,順發,164
2026/07/10,前段,14.54,59,59.69,待確認,營運,永利,51
2026/06/04,完成,9.06,22,8.64,待確認,製造,東昇,112
2026/07/07,中段,34.30,0,96.04,正常登錄,研發,大宏,4
2026/07/09,前段,34.15,28,92.13,正常登錄,資材,大宏,134
2026/06/05,前段,4.23,131,43.23,正常登錄,製造,順發,145
2026/07/25,完成,42.43,115,94.58,已回報,研發,順發,36
2026/06/07,完成,87.24,54,93.31,待確認,研發,永利,59
2026/06/19,完成,64.75,223,57.23,正常登錄,研發,永利,47
2026/06/12,後段,65.23,103,22.39,正常登錄,品保,大宏,97
2026/06/01,後段,53.09,135,28.75,待確認,資材,東昇,8
2026/07/06,後段,86.23,0,80.87,正常登錄,營運,東昇,14
2026/07/29,前段,15.92,0,87.63,正常登錄,製造,大宏,188
2026/07/01,前段,21.25,230,59.35,正常登錄,營運,大宏,122
2026/06/30,後段,91.59,0,23.78,待確認,品保,東昇,45
2026/07/22,完成,3.65,60,57.66,正常登錄,品保,力鋼,36
2026/07/14,前段,27.77,195,62.97,正常登錄,研發,永利,49
2026/07/13,前段,17.88,0,19.21,待確認,資材,大宏,124
2026/06/04,前段,80.03,0,53.45,已回報,製造,永利,13
2026/06/22,前段,47.93,35,88.48,正常登錄,研發,順發,16
2026/06/22,中段,39.98,221,28.64,正常登錄,製造,力鋼,38
2026/07/18,完成,65.76,149,19.41,正常登錄,品保,力鋼,179
2026/06/09,前段,29.53,9,33.41,正常登錄,營運,東昇,22
2026/07/29,後段,62.14,0,6.00,正常登錄,品保,大宏,155
2026/06/22,中段,0.93,0,94.55,已回報,研發,力鋼,203
2026/06/18,前段,45.79,111,47.38,正常登錄,研發,大宏,240
2026/06/27,中段,62.47,159,70.18,已回報,研發,力鋼,204
2026/06/18,完成,25.92,35,97.79,正常登錄,品保,大宏,135
2026/06/15,完成,39.76,0,97.20,正常登錄,研發,大宏,121
2026/07/14,後段,59.04,0,46.62,正常登錄,資材,永利,178
2026/07/12,後段,62.30,41,45.94,正常登錄,品保,捷欣,187
2026/06/20,中段,81.15,228,43.93,待確認,製造,大宏,208
2026/07/08,後段,94.42,121,29.97,正常登錄,製造,大宏,130
2026/07/18,後段,7.20,141,4.30,正常登錄,營運,永利,2
2026/06/08,中段,5790.00,0,25.27,正常登錄,研發,永利,204
2026/06/16,中段,63.72,0,7.06,正常登錄,製造,永利,238
2026/07/23,完成,57.61,55,62.75,待確認,品保,大宏,160
2026/07/13,後段,10.72,202,40.91,正常登錄,研發,永利,131
2026/06/05,前段,15.29,188,7.13,正常登錄,資材,永利,210
2026/06/11,前段,69.86,65,39.96,已回報,資材,力鋼,162
2026/07/23,後段,89.27,0,80.00,正常登錄,製造,東昇,27
2026/07/25,中段,92.09,0,75.28,正常登錄,製造,捷欣,87
2026/07/18,前段,43.96,0,15.97,待確認,製造,順發,131
2026/06/15,前段,42.13,157,61.67,正常登錄,品保,永利,40
2026/07/14,前段,65.75,0,58.06,正常登錄,製造,力鋼,24
2026/07/27,前段,27.82,11,48.79,正常登錄,營運,永利,21
2026/07/27,完成,51.29,57,85.03,已回報,品保,東昇,95
2026/07/08,中段,46.05,148,13.90,正常登錄,研發,力鋼,78
2026/06/27,中段,0.73,0,10.46,正常登錄,製造,永利,87
2026/06/01,完成,31.85,0,64.75,已回報,製造,順發,156
2026/07/16,完成,70.89,160,73.80,待確認,資材,順發,109
2026/06/13,中段,18.25,194,65.02,正常登錄,營運,捷欣,58
2026/06/02,後段,47.32,205,89.40,正常登錄,資材,大宏,95
2026/07/17,中段,57.87,15,53.87,正常登錄,品保,大宏,181
2026/07/30,完成,41.92,21,25.14,正常登錄,營運,順發,162
2026/06/01,後段,35.29,21,38.78,正常登錄,研發,永利,213
2026/07/20,前段,81.21,145,58.47,正常登錄,品保,力鋼,116
2026/06/13,中段,80.77,127,48.82,正常登錄,資材,捷欣,48
2026/07/25,後段,94.11,49,65.50,正常登錄,資材,大宏,222
2026/06/15,完成,36.03,238,72.06,正常登錄,品保,東昇,61
2026/06/26,前段,85.97,157,14.09,已回報,資材,東昇,45
2026/07/16,後段,93.99,71,2.78,正常登錄,品保,大宏,63
2026/06/04,後段,85.36,177,31.86,待確認,研發,順發,14
2026/07/11,中段,7.61,0,2.53,正常登錄,研發,東昇,7
2026/07/07,完成,75.72,229,91.50,正常登錄,研發,東昇,66
2026/07/05,完成,74.20,0,24.72,正常登錄,研發,捷欣,127
2026/07/03,前段,83.80,0,95.65,正常登錄,研發,大宏,17
2026/06/25,前段,45.92,0,14.52,正常登錄,品保,捷欣,170
2026/06/21,中段,58.20,210,86.79,待確認,資材,東昇,20
2026/06/23,前段,27.64,17,79.53,正常登錄,營運,東昇,148
2026/06/23,前段,65.83,36,48.47,正常登錄,品保,順發,104
2026/06/16,前段,22.71,54,84.01,正常登錄,製造,捷欣,117
2026/06/18,後段,5.88,0,91.23,已回報,品保,捷欣,220
2026/07/18,後段,83.84,12,27.32,正常登錄,製造,永利,75
2026/06/01,中段,48.79,68,51.68,已回報,品保,東昇,41
2026/06/26,前段,14.02,135,28.53,正常登錄,研發,大宏,122
2026/07/06,完成,12.05,151,51.57,已回報,品保,大宏,114
2026/06/21,後段,31.28,9,29.91,正常登錄,資材,順發,227
2026/06/29,完成,11.89,32,84.76,正常登錄,資材,永利,158
2026/06/10,完成,96.86,233,42.45,正常登錄,研發,永利,4
2026/06/24,完成,53.79,34,18.26,正常登錄,營運,捷欣,215
2026/06/17,完成,79.51,159,82.33,正常登錄,資材,東昇,135
2026/06/13,後段,25.09,128,77.28,正常登錄,研發,大宏,42
2026/07/17,前段,52.08,43,36.17,正常登錄,營運,力鋼,93
2026/07/10,後段,6.31,80,94.35,正常登錄,製造,順發,39
2026/07/22,前段,68.88,199,9.96,正常登錄,品保,東昇,203
2026/06/10,後段,69.60,107,92.56,待確認,研發,大宏,187
2026/07/11,完成,43.50,0,88.49,已回報,營運,東昇,125
2026/07/05,後段,75.97,0,70.49,正常登錄,品保,永利,123
2026/06/16,中段,89.68,228,76.83,已回報,品保,永利,58
2026/06/13,中段,63.33,128,2.71,已回報,製造,順發,237
2026/06/27,後段,19.55,219,23.19,待確認,研發,順發,83
2026/06/18,中段,2.49,121,83.54,正常登錄,研發,力鋼,83
2026/07/21,完成,16.21,0,62.71,正常登錄,製造,力鋼,114
2026/07/04,完成,49.22,140,50.44,待確認,研發,永利,94
2026/07/29,後段,3.28,229,52.30,正常登錄,製造,東昇,40
2026/07/14,後段,5.76,135,7.33,已回報,製造,力鋼,183
2026/07/29,後段,55.50,131,32.85,待確認,營運,力鋼,83
2026/06/26,中段,4.54,6,83.82,已回報,資材,東昇,214
2026/07/01,前段,16.26,30,18.67,已回報,資材,東昇,51
2026/06/26,中段,74.11,0,72.05,正常登錄,製造,捷欣,181
2026/06/20,前段,31.21,200,95.37,正常登錄,營運,大宏,150
2026/07/06,中段,56.26,0,29.96,正常登錄,研發,大宏,220
2026/06/19,中段,87.18,52,13.26,已回報,營運,大宏,101
2026/07/20,完成,55.42,130,84.51,正常登錄,製造,順發,123
2026/06/20,前段,52.40,0,65.79,待確認,研發,力鋼,193
2026/06/04,中段,31.56,0,67.96,待確認,品保,力鋼,221
2026/07/27,中段,36.68,238,20.32,待確認,資材,捷欣,125
2026/06/27,完成,92.48,239,69.54,已回報,資材,順發,217
2026/06/18,前段,56.93,0,34.93,已回報,研發,大宏,223
2026/07/09,完成,56.10,0,68.24,正常登錄,品保,大宏,11
2026/07/01,中段,34.77,236,51.35,待確認,資材,永利,38
2026/07/30,中段,57.43,52,66.98,正常登錄,品保,力鋼,211
2026/07/29,前段,45.97,16,70.07,已回報,營運,東昇,182
2026/06/28,後段,32.07,0,25.14,正常登錄,研發,大宏,183
2026/06/20,後段,35.66,0,81.55,正常登錄,營運,東昇,42
2026/06/14,完成,61.21,219,87.81,待確認,營運,大宏,116
2026/07/28,前段,64.97,50,71.32,正常登錄,品保,東昇,27
2026/07/22,中段,47.74,209,49.60,待確認,資材,大宏,33
2026/07/30,中段,8.40,125,33.70,正常登錄,品保,大宏,52
2026/06/19,前段,8.65,7,76.38,正常登錄,研發,永利,228
2026/07/02,後段,69.31,127,48.88,待確認,研發,大宏,37
2026/06/08,完成,2.80,26,29.64,正常登錄,品保,大宏,51
2026/07/07,完成,71.59,0,61.90,待確認,研發,東昇,236
2026/06/30,中段,33.17,74,97.10,正常登錄,研發,東昇,192
2026/06/15,完成,11.89,182,61.56,正常登錄,研發,東昇,79
2026/07/13,後段,11.24,206,79.23,正常登錄,資材,大宏,220
2026/07/28,前段,84.74,0,36.83,正常登錄,資材,力鋼,95
2026/07/29,中段,36.38,7,30.81,正常登錄,品保,東昇,72
2026/06/08,中段,38.91,9,96.18,正常登錄,製造,捷欣,132
2026/06/15,前段,54.90,192,62.98,正常登錄,資材,捷欣,149
2026/07/05,中段,19.29,15,32.54,正常登錄,資材,永利,224
2026/06/23,前段,12.06,70,58.55,正常登錄,營運,東昇,46
2026/06/21,前段,81.98,107,31.90,待確認,營運,捷欣,121
2026/06/14,前段,50.49,41,29.05,已回報,資材,力鋼,66
2026/07/09,中段,62.50,104,91.34,正常登錄,研發,力鋼,19
2026/07/20,前段,16.85,194,97.14,正常登錄,品保,永利,98
2026/07/03,後段,71.02,46,48.58,待確認,製造,順發,146
2026/06/28,中段,38.01,14,1.58,已回報,製造,順發,54
2026/06/11,中段,72.92,45,87.33,正常登錄,研發,大宏,163
2026/07/27,完成,20.25,57,74.23,正常登錄,製造,順發,238
2026/06/06,中段,93.64,93,27.94,正常登錄,資材,永利,234
2026/06/25,完成,86.30,117,81.69,待確認,營運,大宏,29
2026/07/18,後段,45.15,181,48.44,待確認,品保,捷欣,42
2026/07/28,完成,87.33,0,72.16,正常登錄,品保,順發,36
2026/06/23,前段,97.81,149,58.33,正常登錄,製造,永利,109
2026/06/26,前段,67.42,238,54.64,正常登錄,營運,力鋼,3
2026/07/30,後段,25.05,109,21.91,正常登錄,品保,東昇,132
2026/06/29,後段,14.21,119,70.23,正常登錄,營運,大宏,134
2026/07/13,完成,56.34,128,59.72,正常登錄,營運,東昇,167
2026/06/22,中段,92.96,0,79.31,已回報,製造,大宏,16
2026/06/13,中段,23.25,89,14.45,待確認,製造,大宏,32
2026/06/18,中段,43.22,170,48.52,正常登錄,資材,捷欣,177
2026/07/21,前段,12.13,21,89.75,已回報,營運,東昇,140
2026/06/23,前段,25.52,0,32.27,待確認,品保,大宏,21
2026/07/16,前段,51.23,217,48.61,正常登錄,製造,大宏,196
2026/07/28,完成,33.42,123,79.49,正常登錄,營運,永利,164
2026/06/28,中段,75.31,0,41.89,正常登錄,品保,順發,197
2026/07/15,完成,63.46,26,23.72,正常登錄,研發,大宏,16
2026/06/27,完成,75.58,30,22.83,待確認,研發,東昇,146
2026/06/04,完成,21.93,200,56.06,正常登錄,營運,力鋼,226
2026/07/28,完成,15.35,129,25.20,正常登錄,研發,永利,167
2026/07/16,後段,21.95,0,71.01,正常登錄,營運,東昇,230
2026/06/14,前段,0.55,5,79.61,已回報,品保,大宏,148
2026/06/19,前段,82.83,0,72.83,正常登錄,品保,力鋼,112
2026/07/15,前段,31.26,193,48.79,已回報,營運,大宏,162
2026/07/18,中段,67.09,121,73.94,正常登錄,營運,大宏,76
2026/07/28,完成,43.88,42,42.77,正常登錄,營運,大宏,144
2026/06/29,前段,36.33,218,55.67,正常登錄,資材,捷欣,129
2026/06/02,後段,94.58,23,10.88,已回報,資材,順發,237
2026/06/14,前段,40.43,0,50.11,正常登錄,研發,東昇,33
2026/06/22,中段,5.56,0,3.17,已回報,製造,順發,48
2026/07/03,前段,54.85,0,75.38,正常登錄,營運,力鋼,58
2026/07/26,前段,30.84,0,82.48,正常登錄,品保,順發,170
2026/06/06,前段,24.28,47,91.63,正常登錄,製造,捷欣,10
2026/06/07,完成,51.61,105,24.28,已回報,品保,順發,187
2026/07/15,完成,64.45,169,93.35,待確認,製造,力鋼,2
2026/06/26,前段,6.29,0,91.96,正常登錄,資材,力鋼,16
2026/06/19,後段,78.47,195,59.25,待確認,品保,永利,114
2026/07/16,後段,39.29,202,80.58,待確認,品保,順發,213
2026/06/02,後段,75.11,108,23.89,正常登錄,品保,捷欣,215
2026/06/10,完成,82.09,204,97.30,正常登錄,營運,順發,230
2026/07/17,後段,40.42,77,7.54,待確認,營運,東昇,16
2026/07/22,完成,66.85,0,29.35,正常登錄,研發,捷欣,227
2026/06/22,中段,55.87,56,84.59,正常登錄,研發,大宏,22
2026/07/03,前段,3.63,118,33.68,已回報,製造,捷欣,117
2026/07/26,中段,57.32,83,70.67,已回報,品保,順發,95
2026/06/16,中段,32.25,42,43.18,正常登錄,品保,永利,38
2026/06/16,完成,12.72,224,37.30,待確認,資材,順發,98
2026/06/16,後段,37.84,147,21.01,待確認,製造,力鋼,111
2026/07/08,後段,46.51,9,84.78,正常登錄,資材,順發,129
2026/07/25,前段,87.79,11,37.32,正常登錄,製造,力鋼,165
2026/06/05,完成,62.34,128,83.04,正常登錄,研發,大宏,79
2026/06/24,後段,21.86,0,61.63,正常登錄,品保,東昇,145
2026/06/29,中段,15.75,183,53.27,已回報,品保,東昇,224
2026/07/11,後段,33.88,0,17.15,待確認,資材,順發,64
2026/06/21,完成,21.64,53,94.51,正常登錄,品保,順發,81
2026/07/18,前段,36.72,34,37.14,正常登錄,營運,永利,167
2026/07/24,前段,30.04,149,80.94,正常登錄,製造,大宏,211
2026/06/19,後段,63.06,0,91.30,正常登錄,研發,東昇,177
2026/07/30,後段,5.94,83,70.58,待確認,品保,永利,153
2026/06/06,完成,59.41,103,59.49,已回報,資材,東昇,211
2026/07/30,後段,11.84,79,44.00,正常登錄,營運,順發,52
2026/07/19,前段,48.55,37,29.58,正常登錄,研發,捷欣,82
2026/06/05,後段,62.28,107,16.19,已回報,品保,永利,156
2026/07/02,後段,37.46,71,26.15,正常登錄,研發,順發,156
2026/07/14,中段,3.02,194,67.47,正常登錄,製造,東昇,31
2026/07/05,完成,40.30,113,2.44,待確認,營運,東昇,49
2026/06/17,中段,61.23,180,59.36,正常登錄,研發,順發,98
2026/07/09,後段,2.95,91,31.03,正常登錄,營運,東昇,135
2026/06/04,後段,86.70,233,13.80,正常登錄,營運,永利,18
2026/06/14,中段,0.70,0,77.06,正常登錄,資材,永利,84
2026/07/23,後段,53.31,107,25.45,正常登錄,製造,順發,94
2026/07/25,完成,56.81,187,82.77,待確認,品保,捷欣,238
2026/07/05,後段,19.77,137,96.45,正常登錄,製造,力鋼,210
2026/07/08,中段,39.91,169,10.53,正常登錄,研發,東昇,103
2026/06/27,中段,82.96,46,42.63,已回報,研發,力鋼,44
2026/07/29,前段,72.97,0,64.25,正常登錄,研發,永利,59
2026/07/30,中段,3.57,0,27.28,正常登錄,研發,捷欣,185
2026/07/17,後段,92.28,235,23.34,已回報,營運,東昇,13
2026/07/27,後段,10.17,130,85.57,正常登錄,品保,捷欣,202
2026/07/23,前段,61.51,117,44.29,正常登錄,研發,力鋼,196
2026/06/20,完成,88.43,0,3.13,已回報,製造,力鋼,225
2026/07/27,後段,32.47,157,25.58,正常登錄,品保,順發,186
2026/07/24,前段,58.83,223,71.36,正常登錄,研發,永利,159
2026/07/23,完成,72.09,130,12.66,已回報,營運,大宏,211
2026/07/13,前段,1.27,94,62.72,已回報,品保,順發,34
2026/07/18,中段,79.74,0,15.92,正常登錄,資材,大宏,2
2026/06/15,後段,68.67,202,15.36,正常登錄,營運,永利,8
2026/07/20,前段,4.39,132,57.07,正常登錄,資材,捷欣,144
2026/06/13,後段,51.06,0,51.25,正常登錄,製造,永利,88
2026/06/23,前段,73.72,39,13.36,已回報,品保,永利,155
2026/07/29,中段,31.71,170,29.76,已回報,營運,永利,143
2026/06/22,後段,26.33,19,39.91,已回報,營運,捷欣,191
2026/06/10,完成,5.45,166,50.99,已回報,研發,捷欣,163
2026/07/26,完成,71.46,141,64.29,正常登錄,資材,大宏,191
2026/07/30,後段,97.15,72,36.81,正常登錄,資材,東昇,207
2026/07/29,完成,82.74,87,32.35,已回報,研發,順發,215
2026/07/10,前段,97.01,0,84.99,待確認,研發,大宏,61
2026/06/24,完成,6.09,22,88.48,待確認,製造,力鋼,130
2026/07/27,中段,13.52,132,82.70,正常登錄,資材,順發,51
2026/07/18,前段,57.71,200,77.54,正常登錄,品保,東昇,175
2026/06/17,中段,1000.00,151,23.50,正常登錄,製造,力鋼,161
2026/07/06,前段,25.23,171,66.98,正常登錄,品保,順發,59
2026/06/20,完成,3.79,47,40.75,正常登錄,研發,永利,127
2026/06/17,完成,89.98,41,75.79,待確認,研發,東昇,140
2026/06/20,完成,93.97,0,95.58,已回報,資材,東昇,103
2026/06/07,完成,29.07,12,40.91,待確認,研發,永利,141
2026/07/08,中段,34.27,0,34.12,待確認,製造,大宏,103
2026/07/10,中段,87.68,213,50.30,待確認,製造,捷欣,116
2026/07/23,後段,2.68,0,77.84,正常登錄,研發,大宏,158
2026/07/16,完成,91.38,52,86.68,正常登錄,營運,順發,19
2026/07/22,後段,12.88,74,62.84,正常登錄,製造,永利,174
2026/07/25,中段,5.71,19,39.13,正常登錄,研發,東昇,203
2026/06/04,後段,21.99,197,29.98,正常登錄,製造,順發,117
2026/07/28,後段,56.42,0,47.66,正常登錄,資材,東昇,214
2026/07/05,前段,63.28,233,54.60,正常登錄,營運,大宏,133
2026/07/27,完成,4.14,135,60.87,正常登錄,製造,東昇,57
2026/06/23,中段,35.84,7,68.91,正常登錄,資材,捷欣,204
2026/07/01,中段,28.39,0,13.76,已回報,資材,永利,102
2026/07/28,完成,49.41,97,36.45,待確認,資材,大宏,13
2026/06/22,中段,50.63,80,28.68,已回報,製造,永利,229
2026/07/05,後段,78.54,0,60.55,正常登錄,品保,大宏,58
2026/07/18,前段,23.92,113,7.88,待確認,營運,捷欣,141
2026/07/21,前段,45.69,81,20.12,待確認,研發,捷欣,36
2026/07/07,中段,82.40,75,4.01,正常登錄,品保,力鋼,37
2026/06/19,後段,54.16,130,1.15,待確認,品保,永利,93
2026/07/13,後段,22.47,136,83.37,正常登錄,營運,東昇,19
2026/06/06,中段,47.23,73,69.83,已回報,營運,東昇,183
2026/07/20,後段,80.85,150,66.84,正常登錄,製造,順發,149
2026/07/27,完成,36.81,36,22.69,正常登錄,資材,大宏,212
2026/07/19,完成,79.74,180,7.63,正常登錄,品保,東昇,146
2026/07/28,中段,48.85,0,36.77,待確認,製造,順發,53
2026/06/13,前段,2.91,0,7.52,正常登錄,研發,永利,224
2026/07/11,後段,44.25,109,32.02,已回報,製造,順發,106
2026/07/07,完成,89.46,25,66.49,待確認,資材,力鋼,12
2026/06/11,前段,52.74,0,56.96,正常登錄,營運,永利,64
2026/07/04,前段,43.25,73,87.53,待確認,資材,永利,190
2026/06/10,中段,15.56,215,57.49,待確認,品保,大宏,156
2026/07/18,完成,97.53,39,15.76,正常登錄,研發,永利,10
2026/06/06,中段,44.42,236,95.21,正常登錄,營運,力鋼,20
2026/06/29,完成,34.68,0,45.51,待確認,製造,永利,156
2026/06/01,完成,23.50,0,35.40,正常登錄,製造,力鋼,129
2026/06/27,中段,57.57,220,86.13,已回報,資材,順發,119
2026/07/25,完成,88.66,32,96.44,正常登錄,製造,大宏,138
2026/06/10,後段,33.08,0,54.54,正常登錄,資材,捷欣,94
2026/07/24,中段,27.35,156,39.40,正常登錄,營運,順發,127
2026/06/25,後段,73.35,144,10.92,正常登錄,研發,順發,19
2026/07/10,完成,9.46,112,43.09,正常登錄,研發,永利,214
2026/07/30,後段,16.31,3,8.72,正常登錄,製造,順發,116
2026/06/19,後段,39.51,30,42.50,正常登錄,品保,大宏,99
2026/07/20,後段,63.34,65,60.06,待確認,製造,順發,31
2026/07/01,後段,32.56,0,57.93,待確認,品保,捷欣,72
2026/07/20,前段,97.29,235,42.12,正常登錄,研發,力鋼,230
2026/07/22,前段,40.06,66,30.67,已回報,品保,捷欣,107
2026/07/14,中段,81.13,237,26.26,正常登錄,製造,捷欣,195
2026/06/30,前段,63.50,235,62.48,待確認,研發,大宏,212
2026/06/14,前段,63.85,37,65.56,已回報,研發,永利,101
2026/06/04,前段,22.77,36,92.84,待確認,品保,力鋼,80
2026/06/13,前段,83.89,64,68.22,已回報,製造,東昇,133
2026/06/26,後段,79.50,28,11.88,正常登錄,營運,永利,90
2026/07/26,完成,72.25,115,4.55,正常登錄,製造,力鋼,147
2026/07/22,完成,70.31,183,83.12,正常登錄,品保,東昇,120
2026/06/19,完成,6.19,18,14.64,待確認,製造,大宏,239
2026/07/09,後段,27.12,24,69.89,正常登錄,品保,力鋼,222
2026/06/22,前段,55.00,26,28.23,已回報,營運,力鋼,196
2026/06/10,中段,47.50,224,63.30,正常登錄,製造,東昇,60
2026/07/29,前段,62.58,230,2.40,正常登錄,研發,東昇,101
2026/06/24,後段,81.44,0,56.51,正常登錄,資材,永利,41
2026/06/13,後段,87.59,117,23.52,正常登錄,營運,大宏,135
2026/06/04,前段,60.54,0,96.96,待確認,營運,力鋼,96
2026/06/25,中段,20.24,187,46.59,已回報,品保,捷欣,82
2026/06/30,前段,61.54,126,15.80,正常登錄,營運,力鋼,135
2026/07/23,前段,17.63,70,52.59,正常登錄,資材,順發,74
2026/07/28,前段,49.92,138,73.65,正常登錄,營運,永利,212
2026/06/17,前段,90.52,111,34.88,已回報,品保,捷欣,22
2026/06/10,中段,76.52,143,74.72,待確認,資材,永利,71
2026/07/19,中段,2.98,131,16.75,已回報,資材,大宏,161
2026/07/14,前段,4.00,0,0.84,正常登錄,資材,大宏,194
2026/06/19,前段,46.16,230,78.80,正常登錄,製造,力鋼,104
2026/06/02,完成,94.54,104,55.29,正常登錄,研發,順發,100
2026/06/19,完成,15.93,0,73.62,正常登錄,品保,順發,80
2026/07/11,後段,1.14,4,70.00,正常登錄,研發,東昇,87
2026/06/27,中段,69.17,113,40.43,正常登錄,品保,力鋼,121
2026/07/13,中段,81.77,188,0.83,已回報,營運,東昇,156
2026/07/10,後段,97.55,156,93.96,正常登錄,營運,大宏,37
2026/06/28,前段,12.40,8,93.32,正常登錄,品保,捷欣,82
2026/06/06,完成,39.78,21,38.73,正常登錄,研發,永利,142
2026/07/21,後段,43.53,0,35.25,正常登錄,品保,順發,136
2026/06/21,後段,71.00,55,91.90,待確認,製造,順發,2
2026/07/14,完成,45.89,111,24.08,正常登錄,研發,力鋼,227
2026/06/29,中段,95.49,194,31.91,已回報,營運,順發,154
2026/06/27,後段,95.46,0,73.19,正常登錄,營運,東昇,93
2026/06/10,前段,38.24,126,35.93,待確認,品保,順發,156
2026/06/21,後段,73.15,0,24.57,正常登錄,製造,大宏,233
